IIT Kharagpur,Exploration Geophysics,G5505
IIT Kharagpur,Mathematics and Computing,G5506
IIT Kharagpur,Physics,G5507
IIT Madras,Aerospace Engineering,M4101
IIT Madras,Chemical Engineering,M4107
IIT Madras,Civil Engineering,M4109
IIT Madras,Computer Science and Engineering,M4110
IIT Madras,Electrical Engineering,M4111
IIT Madras,Engineering Physics,M4117
IIT Madras,Mechanical Engineering,M4125
IIT Madras,Metallurgical and Materials Engineering,M4127
IIT Madras,Naval Architecture and Ocean Engineering,M4132
IIT Madras,Aerospace Engineering,M5201
IIT Madras,Aerospace Engineering with M.Tech. in Applied Mechanics with specialization in Biomedical Engineering ,M5202
IIT Madras,Biological Engineering,M5207
IIT Madras,Chemical Engineering,M5210
IIT Madras,Civil Engineering with M.Tech. in Applied Mechanics in any of the listed specializations ,M5212
IIT Madras,Civil Engineering (Infrastructural Civil Engineering),M5213
IIT Madras,Civil Engineering with any of the listed specialization,M5215
IIT Madras,Computer Science and Engineering,M5216
IIT Madras,Electrical Engineering,M5217
IIT Madras,Electrical Engineering with M.Tech in Applied Mechanics with specialization in Biomedical Engineering ,M5218
IIT Madras,Engineering Design (Automotive Engineering),M5227
IIT Madras,Engineering Design (Biomedical Design),M5228
IIT Madras,Mechanical Engineering (Thermal Engineering),M5236
IIT Madras,Mechanical Engineering (Intelligent Manufacturing),M5237
IIT Madras,Mechanical Engineering (Product design),M5238
IIT Madras,Metallurgical and Materials Engineering,M5241
IIT Madras,Naval Architecture and Ocean Engineering,M5249
IIT Madras,Naval Architecture and Ocean Engineering with M.Tech in Applied Mechanics in any of the listed specializations ,M5250
IIT Madras,Biological Sciences,M5601
IIT Madras,Physics,M5602
IIT Mandi,Computer Science and Engineering,C4110
IIT Mandi,Electrical Engineering,C4111
IIT Mandi,Mechanical Engineering,C4125
IIT Patna,Computer Science and Engineering,P4110
IIT Patna,Electrical Engineering,P4111
IIT Patna,Mechanical Engineering,P4125
IIT Rajasthan,Computer Science and Engineering,J4110
IIT Rajasthan,Electrical Engineering,J4111
IIT Rajasthan,Mechanical Engineering,J4125
IIT Rajasthan,Systems Science,J4138
